Date,Open,High,Low,Close,Adj Close,Volume
2020-12-31,59.05038833618164,60.27131652832031,58.57558059692383,60.24224853515625,58.09315490722656,2362970
2021-01-04,60.25193786621094,60.3294563293457,57.96511459350586,58.003875732421875,55.93463134765625,3965254
2021-01-05,58.13953399658203,58.86627960205078,58.08139419555664,58.29457473754883,56.2149658203125,2801777
2021-01-06,58.72092819213867,58.788761138916016,57.50968933105469,57.80038833618164,55.73841094970703,4274647
2021-01-07,57.91666793823242,57.92635726928711,56.74418640136719,57.07364273071289,55.03758239746094,4302924
2021-01-08,57.1705436706543,58.003875732421875,57.03488540649414,57.887596130371094,55.82250213623047,3300542
2021-01-11,57.73255920410156,57.97480773925781,57.422481536865234,57.577518463134766,55.52348327636719,2622106
2021-01-12,55.27131652832031,56.15310287475586,55.23255920410156,56.01744079589844,54.019065856933594,12195247
2021-01-13,56.43410873413086,57.03488540649414,55.73643493652344,55.988372802734375,53.99103546142578,4415309
2021-01-14,56.34689712524414,56.414730072021484,55.88178253173828,56.03682327270508,54.037757873535156,3009828
2021-01-15,56.25,57.093021392822266,55.61046600341797,56.83139419555664,54.80398178100586,3361121
2021-01-19,57.1705436706543,57.1705436706543,55.988372802734375,56.33720779418945,54.32741928100586,3406219
2021-01-20,56.395347595214844,57.3449592590332,56.22092819213867,57.151161193847656,55.11233901977539,2624686
2021-01-21,56.67635726928711,57.62596893310547,56.37596893310547,57.25775146484375,55.21513748168945,2632426
2021-01-22,57.08333206176758,58.09108352661133,56.92829513549805,57.9844970703125,55.91594696044922,2904151
2021-01-25,58.13953399658203,59.38953399658203,57.781009674072266,58.50775146484375,56.420536041259766,3731918
2021-01-26,58.57558059692383,59.2829475402832,58.41085433959961,58.788761138916016,56.69152069091797,2520763
2021-01-27,58.38178253173828,59.27325439453125,58.246124267578125,58.488372802734375,56.40184783935547,3546571
2021-01-28,58.38178253173828,59.835269927978516,58.29457473754883,59.06007766723633,56.95315170288086,3127373
2021-01-29,58.27519226074219,59.011627197265625,57.07364273071289,57.22868347167969,55.407562255859375,4867118
2021-02-01,57.606590270996094,58.362403869628906,57.0155029296875,58.29457473754883,56.439537048339844,2511578
2021-02-02,58.29457473754883,58.9050407409668,57.945735931396484,58.44961166381836,56.589637756347656,2356366
2021-02-03,58.19767379760742,58.730621337890625,57.80038833618164,58.585269927978516,56.720985412597656,2373703
2021-02-04,58.7015495300293,59.53488540649414,58.585269927978516,59.06007766723633,57.1806755065918,1957910
2021-02-05,59.24418640136719,59.52519226074219,59.098838806152344,59.2829475402832,57.396461486816406,1627774
2021-02-08,59.312015533447266,59.39922332763672,58.895347595214844,59.011627197265625,57.13377380371094,1972771
2021-02-09,59.08914566040039,59.87403106689453,59.011627197265625,59.82558059692383,57.92182922363281,2203939
2021-02-10,60.19379806518555,61.52131652832031,60.02907180786133,60.562015533447266,58.63482666015625,3566489
2021-02-11,60.70736312866211,61.07558059692383,60.45542526245117,60.97868347167969,59.03823471069336,2190833
2021-02-12,60.67829513549805,61.16279220581055,60.17441940307617,60.52325439453125,58.5972900390625,1866578
2021-02-16,60.70736312866211,60.862403869628906,59.379844665527344,59.78682327270508,57.88430404663086,2784130
2021-02-17,59.69961166381836,60.02907180786133,59.195735931396484,59.8449592590332,57.940589904785156,1930975
2021-02-18,59.70930099487305,59.82558059692383,58.953487396240234,59.031009674072266,57.15253829956055,3308386
2021-02-19,59.32170486450195,60.17441940307617,59.137596130371094,59.195735931396484,57.31203079223633,2858434
2021-02-22,59.36046600341797,60.45542526245117,59.20542526245117,60.17441940307617,58.25956344604492,3666490
2021-02-23,60.60077667236328,60.872093200683594,59.60271453857422,60.445735931396484,58.522247314453125,4029650
2021-02-24,60.39728546142578,60.69767379760742,60.00968933105469,60.4360466003418,58.51286697387695,3710040
2021-02-25,60.59108352661133,61.812015533447266,59.17635726928711,59.680233001708984,57.78110122680664,3338004
2021-02-26,59.45736312866211,60.00968933105469,58.33333206176758,58.39147186279297,56.75636291503906,3404465
2021-03-01,59.27325439453125,59.835269927978516,58.57558059692383,58.63372039794922,56.99182891845703,3024276
2021-03-02,58.62403106689453,58.83720779418945,57.85852813720703,58.49806213378906,56.85996627807617,3517882
2021-03-03,58.49806213378906,59.593021392822266,58.430233001708984,58.895347595214844,57.24612808227539,3220356
2021-03-04,58.72092819213867,59.04069900512695,56.879844665527344,57.606590270996094,55.99345779418945,4465361
2021-03-05,57.819766998291016,58.19767379760742,56.46317672729492,58.10077667236328,56.47380828857422,3907358
2021-03-08,58.22674560546875,59.26356506347656,57.83914566040039,58.56589126586914,56.92589569091797,3772063
2021-03-09,58.604652404785156,59.69961166381836,58.14922332763672,58.827518463134766,57.180198669433594,3305496
2021-03-10,58.827518463134766,59.90310287475586,58.7984504699707,59.5155029296875,57.848915100097656,3441101
